,state_id,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
Alabama,FIPS:01,5.947058823529411,7.2,5.81875,5.78125,4.647058823529412,4.335294117647059,4.426666666666667,4.493333333333334,4.326666666666667,5.614285714285713,5.864285714285714,6.200000000000001,6.5,7.23125,7.125,6.0562499999999995,5.166666666666666,4.288235294117647,4.325,4.257894736842105,4.0473684210526315,4.468421052631578,4.71578947368421,6.084210526315789,6.499999999999999,6.0588235294117645,7.1000000000000005,6.199999999999999,5.311764705882354,4.952941176470588,3.74375,4.12,4.4625,6.05625,4.464705882352941,5.547058823529412,6.747058823529412,7.08125,7.170588235294118,6.805882352941176,4.5588235294117645,4.152941176470588,3.864705882352941,3.94375,4.188235294117646
Alaska,FIPS:02,8.269047619047619,8.762790697674417,8.384090909090908,8.82325581395349,7.458139534883722,7.571428571428573,7.216666666666667,7.648837209302325,7.702325581395349,7.893023255813954,9.534883720930232,8.870731707317074,9.281395348837208,9.545238095238094,8.279069767441861,9.161363636363637,8.05952380952381,7.821428571428573,7.159523809523809,7.442857142857143,7.692857142857142,8.219047619047618,8.080487804878048,8.388095238095238,8.370731707317074,8.283720930232558,8.37906976744186,7.837209302325583,8.34047619047619,7.902325581395348,6.995238095238095,7.389999999999999,7.516279069767443,8.24418604651163,8.802439024390244,9.86,8.98,9.014634146341464,8.441860465116278,9.46046511627907,9.053488372093023,7.988095238095238,7.4925000000000015,7.9975609756097565,6.089189189189189
Arizona,FIPS:04,4.88421052631579,5.972222222222223,6.338888888888889,7.794736842105263,8.0,7.372222222222222,7.075,6.5058823529411764,5.972222222222222,9.242105263157894,10.089473684210526,9.783333333333335,9.463157894736844,9.93157894736842,10.905263157894737,11.0,8.2,7.770588235294118,12.02222222222222,10.561111111111112,10.833333333333334,9.966666666666665,10.183333333333334,9.761111111111111,10.941176470588236,10.872222222222224,11.399999999999999,12.399999999999999,8.294117647058824,7.6647058823529415,6.958823529411765,6.1647058823529415,6.800000000000001,6.529411764705883,5.38235294117647,5.333333333333333,5.494444444444444,6.544444444444444,6.905555555555556,8.333333333333334,7.955555555555557,7.827777777777778,6.816666666666666,6.472222222222222,5.733333333333333
Arkansas,FIPS:05,6.276470588235293,7.729411764705881,5.835294117647059,7.1375,6.364705882352942,5.555555555555555,5.217647058823529,4.388235294117647,4.3,5.564705882352941,6.03529411764706,6.6625,7.064705882352941,8.011764705882353,7.688235294117646,7.088235294117646,5.788888888888889,4.438888888888889,5.050000000000001,4.05,4.144444444444444,5.066666666666666,5.211111111111111,6.4222222222222225,7.316666666666667,7.53888888888889,8.094444444444443,7.450000000000001,6.427777777777778,5.4111111111111105,4.205555555555556,4.570588235294117,4.227777777777778,5.7705882352941185,5.961111111111111,6.127777777777777,7.050000000000001,7.327777777777778,7.841176470588236,7.877777777777778,5.266666666666667,5.65,4.233333333333333,4.944444444444445,4.5058823529411764
California,FIPS:06,3.87,5.449382716049383,5.502531645569621,7.232098765432098,7.571604938271604,6.880000000000001,7.079012345679012,6.553086419753086,5.708641975308641,5.27375,5.56875,6.012820512820514,5.72875,5.2612499999999995,7.220987654320986,7.24567901234568,7.20506329113924,7.288750000000002,7.1278481012658235,6.567088607594936,6.191139240506328,6.134615384615385,5.102531645569621,5.5766233766233775,6.442857142857143,7.064935064935064,6.476923076923077,7.610256410256411,7.584810126582279,7.419230769230771,6.662820512820512,6.385897435897436,6.328205128205127,5.55844155844156,5.026582278481013,4.7623376623376625,4.9831168831168835,6.073417721518987,6.616666666666667,7.341025641025642,7.75194805194805,7.532051282051282,6.884415584415585,6.530263157894736,5.911688311688311
Colorado,FIPS:08,9.08,9.536666666666667,10.12,11.129999999999999,10.189999999999998,9.375862068965516,9.163333333333336,6.8931034482758635,6.433333333333333,6.416666666666667,7.365517241379311,6.881481481481482,6.272413793103448,7.810714285714285,8.789655172413795,8.6,8.072413793103447,7.13793103448276,7.239285714285714,13.22903225806452,17.31875,26.935000000000002,24.975609756097562,27.5375,25.139024390243904,27.2875,27.577499999999997,27.24878048780488,8.680769230769231,8.037037037037036,6.243333333333333,5.774193548387098,5.936363636363636,6.554285714285714,6.126470588235295,5.721052631578947,5.54871794871795,6.312820512820512,6.925641025641026,8.123076923076926,6.594736842105263,6.730769230769231,5.5736842105263165,5.610526315789475,5.659459459459459
Connecticut,FIPS:09,8.4625,8.0125,7.375,8.1875,7.2125,6.7875,5.6375,5.5625,5.957142857142857,7.175000000000001,6.35,6.0375,8.15,8.662500000000001,8.350000000000001,7.9,6.449999999999999,6.7375,6.085714285714286,5.949999999999999,6.9625,6.699999999999999,6.425000000000001,6.85,7.3,7.562500000000001,9.625,7.800000000000001,7.5375,6.75,5.625,5.3375,6.5875,6.887499999999999,7.05,6.55,7.975,6.6375,9.85,7.825,6.3375,6.2,6.133333333333334,5.655555555555555,6.1
Delaware,FIPS:10,8.5,9.15,7.699999999999999,9.5,8.399999999999999,8.149999999999999,6.15,6.300000000000001,7.15,8.149999999999999,6.699999999999999,6.95,8.8,9.5,8.95,9.399999999999999,6.75,7.4,6.4,6.5,7.6000000000000005,7.15,7.05,7.949999999999999,8.2,8.6,10.75,9.6,8.649999999999999,7.6,6.25,6.050000000000001,6.6,7.05,7.05,6.699999999999999,8.6,7.949999999999999,10.4,9.7,7.6,7.199999999999999,7.6000000000000005,6.45,6.800000000000001
District of Columbia,FIPS:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,FIPS:12,7.793333333333333,8.572340425531914,7.608510638297871,7.22340425531915,8.002222222222223,6.466666666666668,6.343478260869564,5.862222222222223,5.826666666666666,7.606521739130436,8.044444444444446,8.120454545454548,7.882222222222221,8.711111111111112,8.346666666666666,8.386666666666667,7.193333333333334,6.561702127659575,5.961702127659575,6.870454545454544,5.697777777777778,8.899999999999999,6.844680851063832,7.391304347826088,7.831111111111112,7.117021276595745,8.608510638297872,9.140425531914895,8.254347826086958,6.714583333333333,5.697916666666667,6.01304347826087,6.9069767441860455,8.999999999999998,6.9733333333333345,6.168085106382979,8.887234042553192,7.885106382978724,8.271739130434783,8.231250000000001,7.783333333333334,5.310869565217392,5.423404255319149,5.773913043478261,5.965957446808511
Georgia,FIPS:13,5.864705882352942,6.794117647058824,5.917647058823529,5.882352941176471,4.947058823529411,4.552941176470589,4.7705882352941185,4.53529411764706,4.888235294117647,5.141176470588236,5.576470588235294,5.023529411764706,6.235294117647059,7.211764705882352,6.135294117647058,6.294117647058824,5.641176470588235,5.152941176470589,4.982352941176471,4.852941176470588,4.3,5.0,4.905882352941176,5.623529411764705,5.993333333333335,5.876470588235294,7.0875,5.9,5.758823529411765,4.6,4.3,4.6000000000000005,5.041176470588235,5.929411764705882,4.270588235294118,5.435294117647059,6.41764705882353,6.088235294117648,7.382352941176471,6.8352941176470585,4.8999999999999995,4.447058823529412,4.29375,4.188235294117647,4.505882352941177
Hawaii,FIPS:15,7.0888888888888895,8.966666666666667,9.18888888888889,10.033333333333335,9.850000000000001,8.6625,8.8875,8.022222222222222,8.588888888888889,8.2375,9.9,9.162500000000001,6.15,8.025,8.925,10.512500000000001,9.325,10.6375,10.875,10.4375,10.3625,11.1375,10.6125,8.475000000000001,8.65,9.862499999999999,8.1625,8.9375,9.2625,10.0625,10.55,10.35,8.475,9.175,10.024999999999999,8.95,8.883333333333335,7.957142857142856,8.785714285714285,10.285714285714286,9.516666666666666,10.214285714285714,10.642857142857142,11.114285714285716,9.157142857142857
Idaho,FIPS:16,3.4333333333333322,4.961904761904762,5.147619047619047,5.809523809523809,4.819047619047619,4.642857142857143,4.775,4.845,4.510526315789474,4.457894736842105,5.178947368421053,5.8,4.515789473684211,5.063157894736842,6.163157894736842,5.76842105263158,5.550000000000001,5.566666666666666,5.377777777777777,5.083333333333334,5.055555555555555,5.361111111111111,4.663157894736844,5.144444444444445,4.622222222222222,6.258823529411765,6.344444444444445,6.716666666666666,5.638888888888889,5.722222222222222,4.516666666666666,4.516666666666667,4.544444444444445,5.2789473684210515,5.094736842105263,4.155555555555555,5.177777777777777,6.777777777777777,6.34375,7.188235294117646,5.258823529411765,5.923529411764706,5.3882352941176475,5.070588235294117,4.91764705882353
