,state_id,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
Alabama,FIPS:01,1.87,,3.67,4.19,6.78,6.34,7.34,6.82,4.95,4.05,2.29,2.36,,3.39,4.13,6.175862068965517,4.030821917808218,5.923344947735193,7.429065743944638,8.691780821917808,2.8494983277591968,0.4444444444444444,2.0,7.478723404255319,7.901408450704224,6.460750853242321,7.415441176470589,5.007352941176472,9.208333333333334,11.290566037735848,8.329545454545455,7.823754789272032,4.566176470588236,5.819923371647509,2.899641577060932,6.907692307692307,5.209964412811388,9.954545454545457,6.5675675675675675,6.287719298245612,7.971014492753622,8.022641509433964,7.264150943396228,7.53515625,7.84765625
Alaska,FIPS:02,,,,,5.48,5.13,4.14,2.845,1.45,,,,,,,6.962085308056872,5.877450980392156,7.523809523809524,9.904761904761905,10.890476190476189,10.617924528301886,4.357843137254903,7.072463768115942,7.435897435897436,6.869565217391305,5.7,3.7586206896551726,3.5980392156862746,7.2439024390243905,7.043269230769233,8.517587939698492,11.912568306010929,11.351485148514852,11.36734693877551,6.052083333333332,8.37948717948718,6.430051813471503,6.051546391752577,5.797872340425532,5.209756097560977,8.152284263959391,6.813131313131312,6.235,12.857868020304569,6.170212765957447
Arizona,FIPS:04,2.09,3.385,5.96,8.925,9.49,12.46,12.95,11.51,8.625,5.235,3.215,2.03,2.18,4.33,6.9350000000000005,2.3564593301435406,1.1882640586797066,1.7816091954022988,3.9280742459396754,6.293577981651376,3.4573459715639814,1.1729857819905214,2.9200913242009134,4.726190476190476,5.489461358313817,2.5818181818181816,1.2298850574712643,0.4643678160919541,1.1208530805687205,0.2517482517482518,7.554479418886197,3.7298578199052135,1.1724941724941724,0.10755148741418764,0.1548974943052392,0.7470997679814385,1.3533333333333333,3.4292134831460674,1.0730593607305936,0.08525345622119816,0.40046296296296297,1.1465721040189123,6.149758454106281,5.3075060532687655,2.0225
Arkansas,FIPS:05,0.59,0.38,2.34,4.45,6.115,7.0749999999999975,7.4875000000000025,6.7825,5.9350000000000005,5.37,1.4033333333333335,0.9,0.91,2.175,4.24,6.525252525252526,7.85121107266436,5.101754385964912,7.4822695035460995,9.522058823529411,2.7455830388692584,2.989247311827957,4.175824175824176,5.2330827067669174,6.121771217712178,4.2801418439716326,8.49433962264151,7.535460992907803,7.115942028985508,5.876325088339223,7.107913669064748,8.345724907063197,1.3886925795053005,3.659176029962546,2.992565055762081,4.324723247232472,4.347517730496453,10.693140794223826,6.054347826086956,5.5602836879432616,5.553956834532374,4.6877323420074335,6.0534351145038165,7.820224719101122,6.739495798319327
California,FIPS:06,1.8446153846153843,2.745384615384616,5.065,7.3199999999999985,8.195384615384615,11.023076923076921,11.25153846153846,10.818461538461538,8.666153846153845,5.4715384615384615,2.685454545454545,1.4927272727272725,2.285454545454545,2.9479999999999995,3.727500000000002,3.4733502538071064,1.9684625492772667,0.3520208604954368,0.0922077922077922,0.0781456953642384,0.33773087071240104,5.400793650793651,4.765789473684211,6.141191709844557,12.477099236641221,10.969811320754717,4.893229166666667,4.9547803617571065,1.1527224435590968,0.7728494623655914,0.10526315789473684,0.4159891598915989,1.074966532797858,0.7747625508819539,4.7164383561643834,0.8158602150537635,6.099075297225893,1.8023255813953487,9.392953929539297,3.2904953145917006,1.4035567715458277,0.17123287671232876,0.29108635097493035,0.0943661971830986,0.15082956259426847
Colorado,FIPS:08,2.355,3.325,5.744999999999999,8.318000000000001,6.077142857142857,8.850000000000003,9.657142857142855,10.0375,8.671111111111111,5.21,3.605,2.34,2.3150000000000004,3.38,5.529999999999999,6.7086446104589115,5.6338329764453965,3.602941176470588,4.026567481402763,5.58254468980021,2.5706860706860706,1.93939393939394,2.8805970149253732,4.464725643896977,5.61044613710555,3.0413135593220337,3.3756727664155006,6.645228215767635,7.495833333333334,1.7744897959183674,6.251755265797392,5.601226993865031,4.752,3.25678496868476,2.0610766045548656,1.860612460401268,2.914285714285714,4.056962025316456,3.5448717948717947,4.072025052192067,4.594963273871984,2.4546381243628947,5.436913451511992,3.705699481865285,1.9956989247311827
Connecticut,FIPS:09,,,,,,,,,,,,,,,,7.046153846153848,9.211267605633802,3.8987341772151898,7.223684210526316,6.6,4.825581395348837,6.931818181818183,3.7126436781609193,7.8068181818181825,8.082352941176469,5.278481012658228,6.6,8.4375,6.977528089887643,7.264367816091952,7.3809523809523805,6.177777777777778,4.373626373626373,6.574712643678161,4.760869565217392,5.6923076923076925,6.192771084337349,11.7375,5.441558441558441,10.531645569620252,7.011111111111113,6.482352941176473,7.674698795180722,9.449438202247189,9.034090909090908
Delaware,FIPS:10,,,,,,,,,,,,,,,,8.394736842105264,12.128205128205128,6.476190476190476,7.371428571428571,3.976190476190476,6.243902439024391,4.717948717948718,2.1470588235294117,7.973684210526316,8.6,3.324324324324324,5.57894736842105,6.973684210526316,10.023809523809524,4.846153846153847,8.384615384615385,7.897435897435898,3.918918918918919,5.0,4.378378378378378,4.0277777777777795,6.066666666666666,9.0,7.068965517241379,6.027777777777778,10.454545454545457,5.918918918918918,7.054054054054054,6.6571428571428575,11.303030303030305
District of Columbia,FIPS:11,,,,,,,,,,,,,,,,5.25,13.75,7.0,8.4,3.5,5.0,3.6,2.0,7.75,7.5,2.25,5.0,6.75,11.75,3.6,8.2,10.25,4.75,5.75,4.333333333333333,3.0,3.5,9.0,6.0,4.0,9.0,9.666666666666666,7.5,9.0,12.333333333333336
Florida,FIPS:12,4.859999999999999,5.205,8.365,8.399999999999999,9.32,9.325,7.495,6.91,7.52,6.8100000000000005,6.6,7.0200000000000005,4.13,5.13,5.92,3.3291666666666666,5.121794871794871,9.075156576200417,8.383116883116884,11.764578833693305,9.789915966386557,4.6788008565310495,0.7263779527559056,3.4897119341563787,4.543259557344063,2.6821705426356592,2.4735812133072406,2.282608695652174,5.686486486486486,14.146739130434785,11.212727272727273,11.23452157598499,7.270642201834862,8.099415204678362,3.0761904761904764,2.51953125,5.366666666666666,2.3929824561403508,2.960144927536232,5.270650263620387,12.32096474953618,10.290441176470589,12.831395348837207,11.644660194174756,8.45224171539961
