,state_id,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
Alabama,FIPS:01,4.25141065830721,3.9907792207792205,4.636381578947368,7.698621794871796,4.12320945945946,3.3692182410423452,4.9569387755102055,5.772842465753425,2.4152054794520548,2.9252650176678445,6.7292526690391465,11.505338078291814,4.126006944444445,6.2429,5.235101351351352,5.289663299663299,2.100304054054054,3.7607457627118634,4.421621621621623,4.7984,1.7434201954397397,0.16320388349514564,2.5662418300653598,5.524241379310345,8.793333333333333,3.328666666666667,4.582178571428573,4.191309090909091,7.653321033210332,10.36615942028985,5.469330855018589,6.57546468401487,3.616872727272728,6.8239776951672875,0.9779642857142858,4.014980988593156,2.3536713286713287,7.746020408163265,4.365992509363297,6.260689655172413,5.5437366548042695,5.178970588235295,4.277472118959108,4.8253612167300375,6.1073461538461515
Alaska,FIPS:02,4.899275362318841,2.4829901960784317,2.879052132701422,3.4224752475247526,1.2,2.5959903381642517,4.132105263157896,4.437684729064039,6.309471153846152,5.443653846153847,5.305368421052632,3.2383000000000006,4.727658536585366,4.207451923076923,2.5510243902439025,2.9320754716981132,2.6064077669902908,2.7862735849056603,4.173615023474179,4.8990140845070425,6.0411214953271015,2.005951219512195,4.237499999999999,3.435,3.3174054054054056,2.996485148514852,1.7176097560975612,1.396731707317073,2.9542512077294685,2.594523809523809,3.227064676616915,5.9016756756756745,6.049313725490196,5.8897979797979785,1.958102564102564,5.23365,3.173775510204082,2.0664615384615392,1.9814285714285715,2.2789371980676334,3.3274619289340097,2.8496500000000005,2.5764676616915425,5.850603015075379,2.34
Arizona,FIPS:04,1.980509708737864,0.5007932692307692,1.0313065326633166,0.4324146341463415,0.9586700767263427,0.7842118863049096,1.7328205128205132,2.0669423558897244,1.6225781249999998,2.075410256410257,0.8237121212121212,0.6651041666666667,1.6995781637717122,0.31987951807228915,0.09497549019607844,0.6624105011933173,0.3710757946210269,0.7751954022988505,1.7110879629629632,3.093219178082192,1.494940898345154,0.3573286052009456,1.0186788154897497,2.1955687203791467,2.3634651162790696,1.2337414965986393,0.4261609195402299,0.11103448275862067,0.2955687203791469,0.0762937062937063,3.6066746987951808,1.7640330188679243,0.38375291375291376,0.03109839816933638,0.03806818181818182,0.21301624129930394,0.5936363636363636,1.419977578475336,0.2926027397260274,0.018758620689655173,0.12099537037037035,0.5509692671394799,2.7095903614457835,2.382722891566265,0.987075
Arkansas,FIPS:05,3.3991029900332226,2.8668275862068966,7.804027303754267,5.602093023255813,11.350999999999999,3.913311475409836,4.866183745583039,2.9477580071174376,1.6832404181184668,3.499407665505226,10.721619718309858,8.873030303030303,1.845919732441472,2.104119601328904,8.62092409240924,5.7908,4.603003412969284,3.0701718213058418,5.120664335664336,7.457625899280576,1.860070175438596,1.8412099644128117,3.2591366906474817,3.283210332103321,2.8351985559566786,2.64979020979021,4.987026022304833,9.150034722222225,6.666989247311827,3.971557093425605,5.062482269503546,6.028727272727273,0.7605281690140845,1.9561254612546128,1.0615018315018314,4.873927272727274,2.5014436619718308,11.360282685512367,5.116241134751774,4.955226480836237,3.5395373665480423,2.8113138686131385,3.354082397003745,6.857316176470588,5.153991769547324
California,FIPS:06,0.5071375,2.863572327044025,0.7619089759797724,1.238007662835249,0.8332978723404255,0.2082493368700265,0.6598801597869507,0.06317333333333333,0.4852424639580603,0.647038007863696,2.0063963963963967,4.948423076923077,6.9897539975399745,1.1673619631901841,5.5588316582914565,1.4081954887218042,0.6488296488946683,0.16216041397153946,0.03824289405684755,0.023902759526938242,0.11739187418086501,3.9350196078431368,2.558647594278284,5.017992327365729,11.434962406015035,9.332438118811881,2.723614303959132,2.769820742637644,0.4611904761904762,0.263048128342246,0.03923489932885907,0.1489068825910931,0.3480319148936171,0.3491632928475034,3.2648655913978493,0.2871218206157965,4.080312093628088,0.6309743589743589,5.935427807486633,2.232332015810277,0.4905291723202171,0.052734693877551024,0.122590027700831,0.032889200561009815,0.047428571428571424
Colorado,FIPS:08,0.5764856557377048,1.705102880658436,0.8019435736677116,2.420557275541796,5.8064300000000015,2.34132,2.29970736629667,1.4723702950152593,0.6258224016145308,1.868265720081136,1.743001071811361,1.365900755124056,0.8922291666666666,0.9556041666666666,1.7098387096774197,2.7794625922023184,2.009725158562368,1.3646666666666667,1.4172670157068064,1.968924508790072,0.6763851699279093,0.4738940809968848,0.8066878306878307,1.4677212389380532,1.9810085836909876,0.8307828810020876,1.113778014941302,2.2982886597938146,3.3899381443298973,0.5801619433198381,2.5744599999999997,1.9204343434343436,1.8759700000000004,1.1551752577319587,0.5700308324768755,0.4470514165792235,0.7284903748733536,1.0778147762747141,1.0929281183932344,1.2893595041322312,2.0010323253388944,1.017010101010101,2.205917525773196,1.2434974358974358,0.6945726495726495
Connecticut,FIPS:09,3.7033333333333336,2.243333333333333,3.200238095238096,3.12,1.162093023255814,6.6724999999999985,2.6747619047619047,2.0748936170212757,3.3230434782608698,3.6991666666666663,2.2012244897959183,4.0698113207547175,2.2833333333333337,5.1375,2.273888888888889,3.0519696969696968,3.3547222222222226,1.74825,3.3394805194805195,4.061728395061729,1.982643678160919,3.970337078651685,2.9469318181818185,3.74314606741573,3.7210465116279066,2.49925,3.4264473684210524,5.300864197530864,5.332888888888889,3.530113636363636,4.451411764705883,2.6263736263736264,2.167173913043478,7.881818181818181,1.72752688172043,2.450126582278481,4.029285714285714,5.613580246913581,3.799743589743589,5.502999999999999,2.7236263736263737,4.049651162790696,5.266867469879519,5.646741573033707,8.669662921348317
Delaware,FIPS:10,4.888148148148149,2.5834615384615387,4.466923076923077,3.4434615384615386,1.5400000000000005,8.408999999999999,3.797037037037037,2.8160869565217386,3.2380769230769233,4.819583333333333,2.9011538461538464,4.951153846153846,2.8865217391304343,4.192,2.086818181818181,2.504736842105263,6.61575,3.1366666666666667,6.253142857142858,2.32547619047619,8.786829268292681,2.8574358974358973,0.8741176470588236,3.2205263157894737,3.0008571428571433,1.0810810810810814,3.572631578947369,3.8060526315789467,5.907619047619049,2.9697435897435898,8.322564102564101,6.957692307692307,2.0270270270270268,3.827948717948718,2.014864864864865,1.2105555555555556,2.9450000000000003,4.915555555555555,4.149655172413794,3.598333333333333,7.684848484848485,4.262972972972974,5.555675675675674,3.914285714285714,9.413636363636364
District of Columbia,FIPS:11,3.28,1.215,4.226666666666667,3.4419999999999997,2.313333333333333,10.98,5.01,1.46,2.5380000000000003,3.4475,2.1775,4.86,2.52,4.3975,1.5233333333333332,2.145,5.8375,3.4419999999999997,5.5760000000000005,2.715,3.088,0.966,0.45,3.5575,2.915,0.425,2.3175,3.662,6.3925,1.102,8.488,6.5525,2.195,2.7125000000000004,2.083333333333333,0.7033333333333333,0.99,4.545,2.145,4.62,8.32,5.986666666666667,9.13,5.65,10.193333333333333
Florida,FIPS:12,2.660767790262172,3.167586837294333,2.385858778625954,4.1804389312977115,2.3109919028340085,5.500756972111553,8.266551724137932,9.018611111111113,7.715318725099603,2.095532786885246,3.7063146551724135,3.4172175732217576,6.752530120481929,3.225864077669903,3.108268041237113,2.3509523809523816,5.239168443496802,7.473132780082987,4.825982721382291,8.070257510729615,7.623762993762994,3.678322717622081,0.2555708661417323,2.3752663934426232,3.09648,1.836795366795367,1.270640776699029,2.3859963768115944,3.6721824686940967,12.441726618705035,7.387320143884892,8.93906890130354,9.986697038724374,6.178400770712909,2.1239089184060718,1.5322612085769982,3.2294280442804437,1.8670034843205576,1.7945945945945947,3.948638743455497,10.094018348623852,6.7479562043795625,8.273269230769232,7.429961464354527,4.815009671179883
Georgia,FIPS:13,3.6277707006369435,4.337245901639346,2.8123448275862066,6.498225255972695,2.441,3.780764525993885,4.959142857142857,6.259195046439627,4.055769230769231,4.008038585209003,7.348496932515338,9.570370370370373,4.10853125,4.991428571428573,2.567893175074184,3.708685897435898,3.047444794952681,3.745565749235473,3.0525974025974025,4.2237341772151895,2.7832424242424243,0.9985802469135802,1.269478527607362,4.946854304635762,7.209842271293378,2.0404702194357367,2.75203125,4.503968253968254,6.021487341772152,6.379868852459017,5.473675496688743,4.873018867924528,4.934012944983818,4.126472491909387,1.1777922077922078,3.318474576271186,2.9144625407166123,4.8828125,4.036623794212218,4.6825,6.950097402597402,5.2117375886524835,5.864723247232473,5.791908127208482,2.74789667896679
Hawaii,FIPS:15,3.355714285714285,2.599264705882353,5.1952816901408445,5.276040268456375,4.50272,3.9908888888888887,3.874580152671756,9.823000000000002,11.553984962406016,7.034692307692307,10.14074074074074,4.757573529411765,0.9760902255639096,2.0504411764705885,3.959,5.5559701492537314,5.371129032258064,5.312265625,6.347067669172933,6.785597014925373,5.909083969465648,5.138593749999999,3.68484126984127,8.314838709677419,3.608686131386861,3.7458015267175577,3.7267424242424236,6.200155038759688,4.049268292682926,2.779672131147541,3.1721875,3.946722689075629,2.3684873949579828,7.790161290322579,8.360075187969926,6.394634146341463,3.837007299270073,10.279624060150377,7.4252419354838715,9.568897637795276,5.297345132743363,3.3737391304347826,4.377155963302753,12.836146788990824,6.479905660377359
Idaho,FIPS:16,2.1578423236514523,2.094117647058824,1.787448559670782,1.2352032520325205,2.8036974789915967,0.7412799999999999,1.246090534979424,0.7553999999999998,1.250281124497992,1.7529435483870968,2.6339256198347107,5.147339055793991,2.941078838174274,1.739032258064516,3.912248995983936,1.5861627906976743,2.285157480314961,0.8212499999999999,0.7022834645669291,0.17634920634920634,1.7351574803149603,5.030546875,1.6261788617886177,3.859831223628692,3.5992050209205018,5.430927419354839,4.675546558704454,3.162064777327935,1.6321576763485481,1.5965737051792834,0.3011328125,0.33571984435797664,1.9345528455284555,1.8178008298755184,3.85991967871486,2.38440170940171,3.0485416666666665,2.32725,2.9565690376569043,2.6484873949579835,2.4911570247933885,1.606707818930041,0.12839662447257386,0.4994067796610169,0.17383177570093458
Illinois,FIPS:17,1.3785287846481875,1.41468487394958,1.7192624728850332,3.2164326375711574,5.281663551401869,8.853552631578948,4.54337760910816,2.974401473296502,3.825121495327103,1.4226768642447418,5.052509960159362,6.439027237354085,0.8245454545454546,1.2373430962343095,3.2999793814432987,2.9264895635673627,4.528437500000001,3.4972813688212927,6.625084427767355,6.432007299270072,3.098203266787659,2.776802973977696,2.5088497217068646,1.391804670912951,2.296694214876033,0.80352,3.8968453608247415,6.156452205882353,5.188221830985915,3.2335663082437285,5.435652173913042,2.301021126760564,0.7153125,6.110127041742286,2.2291528545119705,0.6840077071290944,1.2325609756097557,4.7525,3.1639230769230764,2.216324324324324,4.401866197183098,6.722992957746477,3.10084229390681,4.920446428571428,4.554057971014492
