,state_id,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
Alabama,FIPS:01,43.08285714285713,40.40277777777778,57.29905660377359,65.58058252427185,71.62571428571428,78.96666666666667,81.5698113207547,78.96542056074769,74.27757009345794,64.77238095238097,58.99191919191918,56.33571428571428,42.483018867924535,48.93364485981309,59.219230769230755,63.44660194174757,69.97692307692307,79.30727272727273,81.93,81.56481481481481,78.50180180180178,68.58411214953271,57.68636363636364,49.5798076923077,52.0980198019802,54.9644859813084,57.742,66.92574257425743,69.857,75.89387755102041,80.61489361702127,78.73673469387755,73.23877551020408,65.53608247422682,55.44607843137257,46.35247524752476,39.86372549019608,57.33939393939394,54.60714285714285,59.11200000000001,74.29134615384616,79.12815533980583,80.48877551020409,79.54255319148935,79.56708860759494
Alaska,FIPS:02,12.510163934426227,16.39482200647249,21.322364217252396,32.96920634920635,48.625552050473175,54.3993769470405,56.45308641975309,51.985,41.720189274447954,34.392857142857146,18.035191637630664,12.501736111111109,19.716558441558444,21.445659163987134,24.066242038216558,37.087106918238995,47.321806853582544,54.00465838509317,57.85762195121952,55.49787878787878,45.09574468085106,31.677917981072554,17.434653465346535,9.539068100358424,7.025868725868727,11.873289902280131,9.070607028753995,33.81308411214953,43.913496932515336,53.34237804878049,58.06214511041009,52.41633333333334,45.28473520249221,32.38196721311476,15.87721088435374,20.466187050359714,9.92394366197183,14.234137931034482,20.693,30.470096463022514,42.65264900662251,51.88576158940397,57.74183006535948,51.917,46.54507042253521
Arizona,FIPS:04,43.84154589371979,50.19082125603864,53.885221674876846,55.99330143540671,60.47238095238095,75.92259615384616,75.4808823529412,77.56794258373206,72.02843137254902,61.8826923076923,46.429186602870814,39.473039215686285,40.451869158878495,48.70288461538462,52.52118226600985,55.79855769230768,61.940099009901,77.26256157635467,78.5839378238342,73.91794871794872,68.73056994818653,63.74334975369458,51.163076923076936,43.523232323232314,40.569387755102035,47.23681592039801,54.21831683168316,57.27085427135678,62.7860962566845,77.03725490196078,77.70454545454545,75.69646464646465,69.73718592964825,63.11875,56.3678391959799,45.65589743589744,45.96546391752578,44.9825,50.02944162436549,60.33216080402009,65.52311557788946,75.5234693877551,78.4725,76.22383419689119,71.99139784946236
Arkansas,FIPS:05,38.08490566037736,35.402884615384615,49.3411214953271,62.05238095238095,69.11153846153846,78.14074074074077,81.96698113207547,78.07572815533979,74.77549019607842,63.539622641509425,53.867961165048534,49.38173076923078,38.900970873786406,46.10280373831775,55.096116504854365,62.17156862745099,67.02924528301887,78.9403846153846,81.99126213592231,79.92745098039217,75.5611650485437,67.108,55.29583333333334,41.915,44.512871287128704,51.6969696969697,55.16799999999999,63.63921568627452,67.58019801980197,75.45096153846154,80.56132075471702,76.88190476190476,73.21904761904761,62.95096153846154,53.45392156862745,41.943564356435644,35.04423076923077,44.83333333333334,53.131067961165066,54.58155339805826,74.86603773584905,80.04326923076924,81.75742574257426,78.76074766355141,74.78529411764707
California,FIPS:06,49.78741610738256,53.473039215686285,56.72888146911519,55.83936877076411,58.984006734006726,71.45109243697479,72.4784745762712,73.91452991452991,70.69779661016949,64.76475548060708,48.24770017035775,43.177568493150694,45.36694915254238,52.546527777777776,51.99707903780068,57.09625212947189,60.46493955094991,70.41547826086956,73.70259965337956,73.50853658536586,68.01463414634146,59.58162911611786,53.090893169877404,44.35071428571428,42.97878787878788,47.20762411347518,52.930511463844795,54.69187279151943,61.64024822695036,69.78169014084507,75.69116607773852,75.19735915492956,68.48365553602812,61.81024734982334,53.366254416961134,48.63470483005367,49.399824561403506,46.83490401396161,48.53686067019401,55.62919580419582,60.63639514731369,68.46298932384342,76.72451154529307,73.52459312839059,68.61942857142857
Colorado,FIPS:08,27.679005524861875,30.192837465564736,38.087222222222216,41.904986149584495,47.054419889502775,61.841126760563384,63.0425,63.663711911357346,59.30606060606061,48.84873239436621,32.15254237288136,23.435593220338983,23.554016620498608,29.99154929577465,34.839943342776195,40.894182825484755,47.893220338983056,63.10028571428572,65.75114942528737,61.20229226361032,56.648324022346365,49.24565826330532,37.98494318181818,23.895702005730662,23.546086956521734,32.929888268156425,39.877591036414564,41.26182336182337,48.58248587570621,61.703661971830975,65.99322033898305,61.858146067415724,56.14815864022663,44.3745810055866,39.62972222222223,28.772881355932203,28.24971751412429,26.897759103641448,34.847457627118644,41.902793296089385,53.8,63.06638176638177,66.83400576368878,63.378796561604574,58.94132947976878
Connecticut,FIPS:09,23.669565217391305,15.804347826086955,30.941666666666666,47.14347826086957,62.56521739130435,65.74166666666666,72.50869565217391,72.45833333333333,68.01739130434783,51.675,46.33478260869565,43.91363636363637,29.6875,32.03999999999999,43.08333333333334,47.03200000000001,58.80833333333334,67.656,74.45,74.22916666666667,66.71600000000001,53.78,43.776,32.80416666666667,32.972,34.34,33.492,51.828,56.904,67.212,71.82916666666667,69.6695652173913,66.48636363636363,59.0391304347826,41.33478260869565,28.83333333333333,25.295,35.58181818181819,36.371428571428574,43.37142857142857,62.11818181818182,66.2736842105263,74.18095238095239,74.68,66.39999999999999
Delaware,FIPS:10,31.42,26.26,39.45,54.525,68.25,73.475,77.075,76.0,72.5,56.725,51.875,50.925,33.625,38.63333333333333,49.93333333333333,53.66666666666666,61.825,72.25,79.4,78.725,72.0,59.65,48.85,38.375,38.3,43.775,42.6,59.40000000000001,62.1,73.4,78.0,73.825,70.1,63.35,47.475,35.85,33.166666666666664,43.66666666666666,40.7,51.65,68.30000000000001,72.7,77.45,78.9,73.69999999999997
District of Columbia,FIPS:11,31.55,27.15,39.85,56.15,70.45,75.8,78.35,76.85,73.55000000000003,57.25,52.2,50.35,32.95,37.7,50.90000000000001,55.2,63.0,75.35,80.80000000000003,80.69999999999997,74.3,61.2,48.7,39.75,40.25,44.8,44.0,62.0,64.15,75.30000000000003,80.35,75.85,69.9,62.75,47.15,37.4,34.5,42.90000000000001,41.15000000000001,52.95,72.8,75.0,80.1,79.35,74.65
Florida,FIPS:12,61.43974358974358,59.13333333333333,70.97592592592594,76.21962025316456,77.94458598726115,81.92594936708859,83.0512987012987,82.93602484472049,81.06226415094339,76.085,73.98789808917198,71.61346153846154,59.324025974025965,61.24551282051283,70.20580645161289,72.50448717948717,76.92802547770701,82.23374233128834,84.33081761006288,83.42012578616351,81.86688741721855,76.07600000000001,68.3961038961039,68.35399999999998,64.3796052631579,66.86433121019108,67.5374193548387,73.3391891891892,77.82,80.97516339869281,83.33774834437087,83.41156462585035,81.24285714285716,76.34532374100718,69.92727272727274,64.19319727891157,57.87999999999999,70.71,64.4451388888889,71.69716312056738,76.76275862068965,81.84685314685314,82.86,82.74413793103447,82.80769230769229
