,,yield per colony,stocks december,average price per pound,value of production,lost colonies,percent lost,added colonies,renovated colonies,percent renovated,varroa mites,other pests and parasites,diseases,pesticides,other,unknown
2015,Alabama,47,-0.492082221,0.668736335,-0.576871343,-0.390680827,0.241150303,-0.403442067,-0.395418986,-0.51678025,-0.293943837,2.792942316,-0.446804512,-0.692414473,-0.817885688,0.996657519
2015,Arizona,49,-0.334352787,-0.753123115,-0.464721207,-0.128686615,0.583210287,-0.09939114,0.072797189,2.676497654,0.126166185,0.415404832,-0.374838356,0.761535709,0.840921182,0.574570076
2015,Arkansas,72,-0.433943044,-0.729425458,-0.382342449,-0.277407188,0.290016015,-0.281147632,-0.341279632,0.405722256,1.083392999,1.932160955,-0.338855278,0.256349629,0.67607081,0.042372865
2015,California,30,0.300333228,-0.753123115,0.733069312,6.087386058,-0.125342538,5.543485923,6.455291636,0.725050046,0.369094527,0.664734606,0.632687827,1.513154024,1.113954611,0.042372865
2015,Colorado,51,-0.284288496,-0.571441074,-0.400695827,-0.326607979,-0.17420825,-0.330498733,-0.350322689,-0.410337653,0.074906076,-0.445376529,0.402396128,0.379565746,-0.410911332,-0.453121091
2015,Florida,54,-0.051193462,-0.80051843,1.296019014,1.234398938,0.167851735,1.523176753,0.850976042,0.405722256,-0.008670188,0.753780953,-0.198521274,0.934038273,0.717283403,-0.257370392
2015,Georgia,40,-0.380110472,-0.437154349,-0.116176176,0.323066104,0.192284591,0.691430155,0.135860613,0.299279659,0.474957795,0.234343925,-0.144546657,1.874587968,0.037275618,-0.355245741
2015,Hawaii,102,-0.460859329,-0.847913745,-0.45279574,-0.399402785,-0.565133947,-0.361794553,-0.312484634,1.008896971,0.401410682,3.843689219,-0.605130055,-1.201707757,-1.003342357,-1.046490395
2015,Idaho,32,0.083387966,-0.832115307,-0.21851529,0.073707549,-0.320805386,-0.100594825,0.012113517,0.192837062,0.104993531,-0.967781769,-0.119358502,-0.170799577,-0.117271606,-0.440886672
2015,Illinois,51,-0.415639969,1.324371526,-0.522656986,-0.358029393,0.412180295,-0.347350328,-0.374358182,-0.108750295,-1.01492841,-0.902481114,-0.590736824,-0.959382727,-0.761218373,-0.110557368
2015,Indiana,53,-0.410256712,0.194783185,-0.596577966,-0.37469057,0.021254598,-0.379488728,-0.35270244,0.228317928,-0.800973174,-0.923258596,0.038967041,-0.860809833,-0.683944761,-0.079971322
2015,Iowa,50,0.033862,-0.618836389,-0.348511337,-0.310953181,-0.198641106,-0.356016863,-0.361745497,-0.499039817,0.004702014,-1.041987059,-0.497180821,-0.372052568,2.113359993,0.011786818
2015,Kansas,36,-0.441479604,0.408062102,-0.598184943,-0.368316831,0.778673135,-0.421978822,-0.402320266,-0.782886742,-0.221511075,0.195757174,-0.594335131,0.428852193,1.459110078,0.776437983
2015,Kentucky,46,-0.469472541,0.834619937,-0.604866588,-0.359259413,0.607643143,-0.414275235,-0.385780991,-0.250673758,-0.315116491,0.145297577,-0.374838356,-0.261158063,0.531826734,-0.28183923
2015,Louisiana,99,-0.311743107,-0.816316868,0.034964317,-0.256161391,-0.516268234,-0.306425025,-0.187785638,0.192837062,-0.471125517,-0.869830787,-0.101366963,-1.086706048,-0.318182997,-0.99755272
2015,Maine,47,-0.473779146,1.932611401,-0.467596851,-0.397166386,-0.638432515,-0.409219757,-0.400059502,-0.96029107,-0.336289144,-0.264315622,-0.137350041,0.244028017,-1.157889581,-0.55099644
2015,Michigan,58,0.568957758,-0.429255129,0.393827837,-0.029166833,-0.05204397,-0.167880838,-0.252038937,-0.552261115,-0.293943837,-0.40975799,-0.324462047,-0.109191518,-0.199696792,0.439991471
2015,Minnesota,68,0.662088107,-0.903208279,0.607640464,0.207891524,-0.076476826,-0.198935921,-0.126269052,-0.39259722,-0.215939324,-0.326648066,-0.022204192,2.059412143,0.078488211,1.278049148
2015,Mississippi,83,-0.452246118,-0.460852006,-0.430720939,-0.168941807,-0.369671098,-0.122742636,-0.198018571,-0.321635489,-0.654993299,-1.056828117,-0.587138516,-1.082598844,-1.003342357,-0.336894113
2015,Missouri,52,-0.471087518,0.447558198,-0.527308764,-0.393811786,-0.467402522,-0.428599091,-0.370074629,-0.179712027,-1.077332021,-0.513645396,-0.295675584,-0.860809833,-0.95697819,-0.18396388
2015,Montana,83,1.523409246,-0.824216088,1.304899681,-0.142105012,-0.711731083,-0.22698179,0.115394747,-0.215192892,-0.397578405,-0.291029527,0.305241817,-0.429553423,-0.776673095,0.066841702
