,,TAVG,PRCP,SNOW,DP10,EVAP,AWND
Indiana,2015,52.385965129956844,3.897488179901733,2.5473011079374888,6.573252739888073,5.815714285714286,7.9937499999999995
Indiana,2016,54.257722586879176,3.612979321278148,1.9922328422103026,6.5917270076660435,6.893358337463851,7.887689393939393
Indiana,2017,54.013160966821495,3.8003985608473507,1.072686877651191,6.533127707827795,6.533127707827795,8.246527777777779
South Carolina,2015,63.81318238218093,5.210293229597564,0.11704545454545452,7.068314340323455,4.758611111111111,5.951282051282052
South Carolina,2016,64.24210996965063,3.7169423135242123,0.08700800833153775,5.203915754449745,4.683438555095427,6.111126373626374
South Carolina,2017,64.32907994662803,4.165527010021907,0.1803574775112444,5.941808786320298,5.941808786320298,6.084569597069598
Florida,2015,74.69792548175944,4.535495649004482,0.0,6.737904784647848,7.319166666666665,7.289188785013255
Florida,2016,73.74046124534858,4.581589920583538,0.0,6.2214879132937275,5.9615517117751695,7.395635148120115
Florida,2017,74.11447268969498,5.070956549109493,0.0,6.26898946727303,6.26898946727303,7.368779587180815
Nebraska,2015,50.78532151724395,2.4950353716015172,1.864294786499242,4.5344001684828665,6.564285714285715,9.690931372549018
Nebraska,2016,51.65311702571335,2.2403305119163686,1.9385822442823217,3.910884129165028,4.609330464331323,10.10438112745098
Nebraska,2017,50.75459528180809,2.229461586892032,1.917778753282124,3.9752302453427943,3.9752302453427943,9.870772058823528
Tennessee,2015,58.69501360700324,4.923729273379997,0.6348447996569593,7.5706524921263565,4.581469135802469,5.350833333333333
Tennessee,2016,59.88425075627426,3.9836466223459595,0.5436769899283488,6.375957127020629,6.250434266710469,5.4063888888888885
Tennessee,2017,59.59215746574074,4.799851475309748,0.23259935815855315,7.36025344430823,7.36025344430823,5.613333333333333
New Jersey,2015,53.52989329113854,3.5467693279211416,2.924344685948588,5.8869894088486125,5.592,6.30078282828283
New Jersey,2016,54.61881172373642,3.2354173640281867,2.3600775662886178,6.337458098169413,6.668556190688185,6.236893939393938
New Jersey,2017,54.28641902600483,3.7439836995482487,2.234437376041097,6.539117442599397,6.539117442599397,6.320454545454546
Idaho,2015,46.27873122928466,1.9671307620748657,2.9258611600663453,5.90378817306318,3.4845833333333336,4.865137844611528
Idaho,2016,45.02851726136833,2.2012731229069806,3.7955488988335273,6.599254347115699,4.395859553817254,5.2760477582846015
Idaho,2017,44.17870680653407,2.560833573184507,5.554196109151712,7.361171002622072,7.361171002622072,5.284190459809654
Texas,2015,66.19935673854057,4.080245,0.4295440109336639,4.922249999999999,6.440392412201994,8.632891784149397
Texas,2016,67.53274760098368,3.3960041666666663,0.03785890822073263,4.273333333333333,4.559968253968254,8.790895824585514
Texas,2017,67.73141743303636,3.01857,0.10727290545724871,3.76675,3.76675,9.161655237886007
Georgia,2015,64.8264198129108,4.974863686189625,0.13333333333333333,7.540089996996621,5.552361169344707,5.324509803921569
Georgia,2016,65.0066575193893,3.2870030434448783,0.03994674444589555,5.0159984614351165,4.7773305244211635,5.527941176470588
Georgia,2017,64.97172672227083,4.400926231208201,0.24276662666812118,6.327391814268251,6.327391814268251,5.399383169934641
Kansas,2015,56.10882707871173,2.801959571214144,0.7393836384694632,4.383270968760712,6.4550370370370365,9.537811539306105
Kansas,2016,57.052112580550194,2.800925212782911,0.5193795207084623,4.056444747980724,4.264753693209352,9.643895476504172
Kansas,2017,56.38792912609629,2.5713759267345058,0.3938290775649505,3.7902543782936804,3.7902543782936804,9.842098978919632
Alabama,2015,64.32253928383633,5.197871953260158,0.5607107843137255,7.200654118436135,4.6054545454545455,5.387887488328666
